																						
																						
	species	date-collected	plot	sex	weight-g																	
	dm	1978-01-08	4	f	37																	
	dm	1978-01-08	4	m	NA																	
	dm 	1978-01-08	4	f	48																	
	do	1978-01-08	4	m	52																	
	ol	1978-01-08	4	m	35																	
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
